Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Janus Triple	tripel	8%	Brouwerij De Ranke	?-?
Jean Nicot	tripel, tabaksbier	8,5%	Brouwerij De Graal	2011-heden
Jeanke	Blonde	NaN	Brasserie St. Jean	?-?
Jef	Saison	6%	Brouwerij Anders! voor brouwerij De Neus	2017-heden
Jessenhofke Arvum	hoge gisting, biologisch	6%	De Proefbrouwerij voor Brouwerij Jessenhofke	2013-heden
Jessenhofke Bière de Garde	hoge gisting, biologisch	9%	De Proefbrouwerij voor Brouwerij Jessenhofke	2010-heden
Jessenhofke Bruin	hoge gisting, biologisch	7%	De Proefbrouwerij voor Brouwerij Jessenhofke	2009-heden
Jessenhofke Lichtblond	NaN	3,5%	De Proefbrouwerij voor Brouwerij Jessenhofke	2011-heden
Jessenhofke Maya	hoge gisting, biologisch	6%	De Proefbrouwerij voor Brouwerij Jessenhofke	2009-heden
Jessenhofke Pimpernelle	hoge gisting, biologisch	8%	De Proefbrouwerij voor Brouwerij Jessenhofke	2010-heden
Jessenhofke Reserva	hoge gisting, biologisch	9%	De Proefbrouwerij voor Brouwerij Jessenhofke	2010-heden
Jessenhofke Schelpje	hoge gisting, biologisch	9%	De Proefbrouwerij voor Brouwerij Jessenhofke	2014-heden
Jessenhofke Tafelbier	NaN	3,5%	De Proefbrouwerij voor Brouwerij Jessenhofke	2011-heden
Jessenhofke Tripel	hoge gisting, biologisch, tripel	8%	De Proefbrouwerij voor Brouwerij Jessenhofke	2002-heden
Jezuwiet	hoge gisting, tripel	8,5%	Brouwerij Boelens	2010-2010
Johannes	streekbier	6,5%	Brouwerij De Graal voor bierfirma Johannes	2007-heden
Joseph	hoge gisting, blond, spelt	5,4%	Brasserie de Silenrieux	1991-heden
Joseph Bio	hoge gisting, blond, spelt	5,4%	Brasserie de Silenrieux	?-heden
Joup	hoge gisting	7,5%	Brasserie Grain d'Orge	2003-heden
Julius	hoge gisting, bruin	8,7%	Brouwerij De Kluis (InBev)	1987-? en 2012-heden
Judas	hoge gisting, okerblond	8,5%	Alken-Maes (Heineken) (vroeger Brouwerij Union)	1986-heden
Jules de Bananes	fruitbier, wit	4,9%	Brouwerij De Ryck	2006-heden
Jules de Kriek	fruitbier, robijnrood	4,9%	Brouwerij De Ryck	2006-heden
Jupiler	pils	5,2%	Brouwerij Piedbœuf	1966-heden
Jupiler Blue	lage gisting, pils	3,3%	Brouwerij Piedbœuf (InBev)	2006-heden
Jupiler NA	alcoholarm	0,5%	Brouwerij Piedbœuf (InBev)	?-heden
Jupiler New Tauro	lage gisting	6,2%	Inbev	2012-heden
Jupiler Tauro	lage gisting	8,3%	Inbev	2008-2012
Kalle	tripel	8%	Brouwerij Gulden Spoor	2007- heden
Kana	Blond speciaal bier - WORLD BEER AWARDS 2020	5.4%	Brouwerij Brouwerij DeBlock - in opdracht van KANA	2019- heden
Kamielke - Zomergems Blond	blond	7,3%	Brouwerij De Feniks in opdracht van De Biersmid	2016-heden
Kamielke - Hopkamiel 2017	blond	8%	Brouwerij De Feniks in opdracht van De Biersmid	2017-heden
Kameleon Amber	biologisch	6,5%	Brouwerij Den Hopperd	1996?-heden
Kameleon Donker	biologisch	6%	Brouwerij Den Hopperd	1996?-heden
Kameleon Ginseng	biologisch	6,5%	Brouwerij Den Hopperd	1996?-heden
Kameleon Tripel	biologisch	8,5%	Brouwerij Den Hopperd	1996?-heden
Kamil	blond	6,5%	De Proefbrouwerij voor Bieren Van Begeerte	2004-heden
Kamil Greenstone	amber	8%	De Proefbrouwerij voor Bieren Van Begeerte	2015-heden
Kamil Surfer Rosa	blond	5,5%	De Proefbrouwerij voor Bieren Van Begeerte	2019-heden
Kapel van Viven Blond	blond	6,8%	De Proefbrouwerij voor Beerdevelopment Viven	1999-2003 en 2006-heden
Kapel van Viven Bruin	bruin	6,6%	De Proefbrouwerij voor Beerdevelopment Viven	1999-2003 en 2006-heden
Kapittel Abt	bruin	10%	Brouwerij Van Eecke	1964-heden
Kapittel Blond	blond	6,5%	Brouwerij Van Eecke	?-heden
Kapittel Dubbel	bruin	7,5%	Brouwerij Van Eecke	?-heden
Kapittel Pater	bruin	6%	Brouwerij Van Eecke	1955-heden
Kapittel Prior	bruin	9%	Brouwerij Van Eecke	?-heden
Kapittel Tripel Abt	tripel	10%	Brouwerij Van Eecke	1964-heden
Karlsquell	pils	4,6%	Brouwerij Martens	?-heden
Kastaar	blond	6%	Brouwerij De Block	1982-heden
Kasteel Blond	blond, hoge gisting	7%	Brouwerij Van Honsebrouck	?-heden
Kasteel Cuvée du Château	donker	11%	Brouwerij Van Honsebrouck	?-heden
Kasteel Donker	donker	11%	Brouwerij Van Honsebrouck	1989-heden
Kasteel Hoppy	blond	6,5%	Brouwerij Van Honsebrouck	2013-heden
Kasteel Rouge	kriek	8%	Brouwerij Van Honsebrouck	2007-heden
Kasteel Tripel	tripel	11%	Brouwerij Van Honsebrouck	1989-heden
Kasteelbier Blond	blond	11%	Brouwerij Van Honsebrouck	1989-heden
Kasteelbier Bruin	bruin	11%	Brouwerij Van Honsebrouck	1989-heden
Kasteelbier Ooidonk	etiketbier	11%	Brouwerij Van Honsebrouck	1989-heden (e ?-?)
Kastel	amber	7%	De Proefbrouwerij in opdracht van De Kastelse Biervereniging	2006-?
Kastels pompoenbier	tarwebier, met pompoen	6%	De Proefbrouwerij in opdracht van De Kastelse Biervereniging	NaN
Katje Special	hoge gisting, ale	6%	Brouwerij Het Sas	1955-heden
Kauno pils	NaN	?%	Brouwerij Villers	?-?
Kd (kadee) blond	hoge gisting, blond	6,2%	Brouwerij Dilewyns voor brouwerij Kadee	2014-heden
Kd (kadee) bruin	hoge gisting, ale	7%	Brouwerij Dilewyns voor brouwerij Kadee	2016-heden
Kd (kadee) tripel	hoge gisting, tripel	8%	Brouwerij Dilewyns voor brouwerij Kadee	2016-heden
Keikop Saison	saison	6,5%	Brouwerij De Graal voor Brouwerij De Kassei	2013-heden
Keikop Tripel	tripel	8,7%	Brouwerij De Graal voor Brouwerij De Kassei	2009-heden
Keikop Weizen	amber	6%	Brouwerij De Graal voor Brouwerij De Kassei	2017-heden
Keikoppenbier	blond, biologisch	6,1%	Brouwerij De Plukker	2012-heden
Keizer Karel	bruin	9%	Brouwerij Haacht	'70-1999
Keizer Karel Robijn Rood	robijnrood	8,5%	Brouwerij Haacht	1999-2022 (vanaf medio 2022 Charles Quint)
Keizer Karel Goud Blond	blond	8,5%	Brouwerij Haacht	2006-2022 (vanaf medio 2022 Charles Quint)
Keizersberg	abdijbier	9%	Brouwerij Van Steenberge	1994-heden
Kempisch Vuur 3-Dubbel	bruin	7,5%	De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij Paeleman	2006-heden
Kempisch Vuur Haverstout	donkere stout	6,5%	De Proefbrouwerij in opdracht van Brouwerij Pirlot	2012-heden
Kempisch Vuur Hoppergod	blond	6%	De Proefbrouwerij in opdracht van Brouwerij Pirlot	2012-heden
Kempisch Vuur Jeneverbes	blond	6,5%	De Proefbrouwerij in opdracht van Brouwerij Pirlot	2012-heden
Kempisch Vuur Tripel	tripel	7,5%	De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij Paeleman	2000-heden
Kerasus	donkerrood	5,5%	Brouwerij Alvinne	?-?
Kerstbier	NaN	?%	Brouwerij Steedje	?-?
Kerelsbier Donker	etiketbier	6,4%	Brouwerij Het Sas	1955-heden (e 1983-heden)
Kerelsbier Licht	etiketbier	6,4%	Brouwerij Het Sas	?-heden (e 1983-heden)
Kerkomse Tripel	tripel	9%	Brouwerij Kerkom bij Brouwerij Sint-Jozef	2003-2014
Kerstpater	hoge gisting, kerstbier	9%	Brouwerij Van Den Bossche	2000-heden
Kerstbie(r)	donker, kerstbier	8%	Brouwerij De Bie	?-?
KerstSmiske	donker, kerstbier	11%	Brouwerij Smisje	?-?
Kerstvuur	kerstbier	8%	De Proefbrouwerij voor Brouwerij Pirlot	?-heden
Kessel 69	hoge gisting	6,9%	Brouwerij De Vlier	2008-heden
Kessel Blond	hoge gisting	7,5%	Brouwerij De Vlier	2008-heden
Keyte	blond, hoge gisting	7,5%	Brouwerij Strubbe	2004-heden
Keyte-Dobbel-Tripel	robijnrood, hoge gisting	9,2%	Brouwerij Strubbe	2007-heden
Kilt (bier)	NaN	?%	Brouwerij Villers	?-?
King Kong (bier)	NaN	?%	Brouwerij Villers	?-?
Klets blond	bovengisting	8%	Brouwerij Bier & Karakter bij Brouwerij Deca	2012-heden
Klets bruin	bovengisting	6,5%	Brouwerij Bier & Karakter bij Brouwerij Deca	2013-heden
Klets Extra Hop	IPA	8%	Brouwerij Bier & Karakter bij Brouwerij Deca	2014-heden
Kleveretien	hoge gisting, winterbier	10%	De Scheldebrouwerij voor Brouwerij Het Nest	2010-heden
Klingse Kalsei	hoge gisting, streekbier	8%	Brouwerij Van Steenberge	1978-heden (e ?-?)
Kloefkapper	tarwebier	5,7%	Brouwerij 't Paenhuys	?-?
Kloeke Blonde	hoge gisting, Belgische blonde ale	6%	De Struise Brouwers	?-heden
Klokke Roeland	donker	11,5%	Brouwerij Van Steenberge	?-?
Klooster van Viven	bruin	6,6%	De Proefbrouwerij voor Beerdevelopment Viven	1999-2003 en 2006-2010
Klosterbier	?	6%	Eupener Bierbrauerei	?-1998
Koantjesbier	hoge gisting	7%	De Proefbrouwerij voor Bierfirma Vacas	?-?
KoekeDam	saison	6,5%	De Scheldebrouwerij voor Brouwerij Het Nest	2014-heden
Koekelaring	hoge gisting	6,5%	Brouwerij De Graal voor De Hoevebrouwers (sinds 2022 in eigen brouwerij)	?-?
Koeketiene	tripel	8,5%	Brouwerij Maenhout	2010-heden
Koerseklakske	hoge gisting	5,5%	Brouwerij 't Gaverhopke	2009-heden
Korsakoff	ongefilterd blond bier	6,5%	't Hofbrouwerijke	?-?
Kortrijk-dUtsel	brutbier	8,5%	Brouwerij Kortrijk-dUtsel	?-?
Kouter Lorem	tripel	8,8%	Brouwerij Danny voor Bierfirma Geestrijken van de Kouter	2017-heden
Krab	blonde ale	5,2%	Scheldebrouwerij	?-?
Kriek Belgique	fruitbier	3,5%	Brasserie du Bocq	?-?
Kriek Boon	lambiek	4,5%	Brouwerij Boon	?-?
Kriek Cantillon 100% Lambic	lambiek	5,5%	Brouwerij Cantillon	?-?
Kriek De Ranke	fruitbier	4,5%	Brouwerij De Ranke	2000-heden
Kriek de Silenrieux	fruitbier	4,5%	Brasserie de Silenrieux	?-?
Kriek Fantastiek	fruitbier, roodbruin	4,9%	Brouwerij De Ryck	?-?
Kriek Girardin	lambiek	5%	Brouwerij Girardin	?-heden
Kriek Jacobins	lambiek	4,5%	Brouwerij Bockor	?-heden
Kriek Lindemans	lambiek	3,5%	Brouwerij Lindemans	1809-heden
Kriek Mariage Parfait	lambiek	8%	Brouwerij Boon	?-?
Kriekedebie	fruitbier	4,4%	Brouwerij De Bie	?-?
Kriekenbier	fruitbier, lage gisting	4%	Brouwerij Sint-Jozef	?-?
Kriekenbier	fruitbier	4,5%	Brouwerij Strubbe	1996-heden
Kriek Max	fruitbier	3,2%	Brouwerij Bockor	2002-heden
Kristoffel Blond	blond, bovengisting	6%	Brouwerij Martens (Bocholt)	?-heden
Kristoffel Donker	donker, bovengisting	6%	Brouwerij Martens (Bocholt)	?-heden
Kristoffel Witbier	witbier, bovengisting	5%	Brouwerij Martens (Bocholt)	?-heden
Kwak (bier)	speciaalbier, hoge gisting	8,4%	Brouwerij Bosteels	?-heden
Kwaremont	blond, hoge gisting	6,6%	Brouwerij Bavik	2010-heden
Kwets	blond tarwebier	6,8%	Brouwerij Van Steenberge voor Microbrouwerij Paeleman in opdracht van Kwets vzw	2007-heden
Kwibus Blond	blond, hoge gisting	6,4%	Brouwerij Danny	2008-heden
Kwibus Donker	hoge gisting	6,4%	Brouwerij Danny	2008-heden
Kwibus Tripel	hoge gisting	8,5%	Brouwerij Danny	2014-heden
L'écume des Jours	NaN	?	Brouwerij Brunehaut	?-?
La Barbiot Ambrée	hoge gisting	9,5%	Brasserie la Barbiot	?-?
La Barbiot Blonde	hoge gisting	8%	Brasserie la Barbiot	?-?
La Binchoise Blonde	hoge gisting, blond	6,2%	Brouwerij La Binchoise	1987-heden
La Binchoise Brune	hoge gisting	7,7%	Brouwerij La Binchoise	1987-heden
La Binchoise Organic’ Brune	hoge gisting, biologisch	7%	Brouwerij La Binchoise	2011-heden
La Binchoise Organic’ Miel	hoge gisting, biologisch, honingbier	8,5%	Brouwerij La Binchoise	2011-heden
La Binchoise Organic’ Triple	hoge gisting, biologisch, tripel	8,5%	Brouwerij La Binchoise	2011-heden
La Binchoise Spéciale Noël	hoge gisting, kerstbier	9%	Brouwerij La Binchoise	?-heden
La Binchoise Triple	hoge gisting, tripel	8,5%	Brouwerij La Binchoise	?-heden
La Binchoise XO	hoge gisting	12%	Brouwerij La Binchoise	?-heden
La Botteresse Ambrée	hoge gisting	8,5%	Brasserie la Botteresse de Sur-les-bois	1997-heden
La Botteresse de Noël	hoge gisting, kerstbier	10,5%	Brasserie la Botteresse de Sur-les-bois	?-heden
La Botteresse Blonde	hoge gisting	7,5%	Brasserie la Botteresse de Sur-les-bois	?-heden
La Botteresse Brune	hoge gisting	9,5%	Brasserie la Botteresse de Sur-les-bois	?-heden
La Botteresse aux cerises	hoge gisting, fruitbier	5,5%	Brasserie la Botteresse de Sur-les-bois	?-heden
La Botteresse Ambrée au miel	hoge gisting, honingbier	8,5%	Brasserie la Botteresse de Sur-les-bois	?-heden
La Botteresse aux pommes	hoge gisting, fruitbier	5,4%	Brasserie la Botteresse de Sur-les-bois	?-heden
La Blanche des Saisis	witbier	6,2%	Brasserie Ellezelloise	1995-heden
La Bouillonnaise	bruin, hoge gisting	7%	Brasserie de Bouillon	1998-heden
La Chérie	fruitbier	5%	Brasserie Val de Sambre	NaN
La Chèvenis	hoge gisting	6%	Brasserie de Bouillon	NaN
La Chouffe	blond, hoge gisting	8%	Brouwerij van Achouffe (Duvel-Moortgat)	1982-heden
La Clermontoise	NaN	?%	Brasserie Ruwet later ?	?-?
La Corne du Bois des Pendus Blonde	hoge gisting, blond	5,9%	Brasserie d'Ebly	2010-heden
La Corne du Bois des Pendus Triple	hoge gisting, triple	7%	Brasserie d'Ebly	2010-heden
La courtoise	met nagisting	% Cat S	Brasserie Caulier	?-?
La Cré Tonnerre	hoge gisting, tripel	7%	Brasserie de Silly	?-?
La dalmatienne	NaN	8%	Brasserie Fantôme	?-heden
La Divine	hoge gisting, amber	9,5%	Brasserie de Silly	?-?
La Djean Triple	amber	9%	Brasserie Sainte-Hélène	2005-heden
La Douce Vertus	hoge gisting, ale	7%	Brasserie Millevertus	?-?
La Farnières	NaN	?%	Brouwerij Val-Dieu	?-?
La Fumette	hoge gisting, Rauchbier	6,5%	Brasserie Millevertus	?-heden
La Gueularde	hoge gisting, blond	8%	Cafés Preko	?-?
La Grognarde	hoge gisting	5,5%	Brasserie Sainte-Hélène	?-?
La Guillotine	sterk blond	8,5%	Brouwerij Huyghe	1989-heden
La Hesbaye blanche	wit	3,8%	Brasserie d'Oleye	?-?
La Hesbaye blonde	blond	6,5%	Brasserie d'Oleye	1994-2002
La Hesbaye brune	bruin	9%	Brasserie d'Oleye	1994-2002
La Hesbaye saison	saison	7%	Brasserie d'Oleye	?-?
La Hesbaye vieille brune	bruin	6%	Brasserie d'Oleye	?-?
La Jamboise	NaN	6%	Les Artisans Brasseurs	?-?
La Jamboise de Bister	bleek blond	6,5%	Brouwerij Lefebvre	?-?
La Loubécoise	donker, hoge gisting	8%	Brasserie d'Ecaussinnes	2004-heden
La Mac Vertus	stout	4,8%	Brasserie Millevertus	?-?
La Marlagne blanche	witbier	5.5%	Les Artisans Brasseurs	?-?
La Marlagne blonde	blond	5.5%	Les Artisans Brasseurs	?-?
La Marlagne brune	bruin	5.5%	Les Artisans Brasseurs	?-?
Lambertusbier	NaN	?%	Brouwerij Villers	?-?
La Médiévale	amber, hoge gisting	6%	Brasserie de Bouillon	1998-heden
La Mère Vertus	tripel	7%	Brasserie Millevertus	?-?
La Merveilleuse de Chrèvremont	NaN	?%	Brouwerij Val-Dieu	?-?
La Merveilleuse de Chrèvremont Royal	NaN	?%	Brouwerij Val-Dieu	?-?
La Moneuse	saison, amber	8%	Brasserie de Blaugies	1988-heden
La Moneuse Spéciale Noël	saison, bruin, hoge gisting	8%	Brasserie de Blaugies	1993-heden
La Moraipire	tripel	8,5%	Brasserie Millevertus	?-?
La Namuroise	hoge gisting	7%	Les Artisans Brasseurs	?-?
La Noire Fontaine	hoge gisting	8%	Brasserie de Bouillon	?-?
La Penneffoise	fruitbier	8%	Brasserie d'Ecaussinnes	?-?
La Pierreuse	dubbel	8%	Brasserie d'Oleye	1994-2002
La Pierreuse pale	NaN	?%	Brasserie d'Oleye	?-?
La Pils des 3 Canaux	pils	4,5%	Authentique Brasserie	?-?
La Ploquette	NaN	7,5%	Brasserie Ruwet later Brasserie de l'Abbaye du Val-Dieu	?-heden
La Poiluchette Blanche de Thy	hoge gisting	?%	Brouwerij Huyghe	?-?
La Poiluchette Blonde	hoge gisting	?%	Brouwerij Huyghe	?-?
La Poiluchette Blonde Cuvéé du Château	hoge gisting	7,5%	Brouwerij Huyghe	?-?
La Poiluchette Brune	hoge gisting	7,5%	Brouwerij Huyghe	?-?
La Poirette de Fontaine	hoge gisting, fruibier	8,5%	Brasserie la Botteresse de Sur-les-bois	?-?
La Prime	hoge gisting, winterbier	8,5%	Brasserie Sainte-Hélène	?-?
La Rulles Blonde	hoge gisting	7%	Brasserie Artisanale de Rulles	2000-heden
La Rulles Brune	hoge gisting	6,5%	Brasserie Artisanale de Rulles	2001-heden
La Rulles Cuvée Meilleurs Vœux	hoge gisting, winterbier	7,3%	Brasserie Artisanale de Rulles	2005-heden
La Rulles Estivale	hoge gisting	5,2%	Brasserie Artisanale de Rulles	2005-heden
La Rulles La Grande 10	hoge gisting, Belgian strong pale ale	10%	Brasserie Artisanale de Rulles	NaN
La Rulles Triple	hoge gisting, tripel	8,4%	Brasserie Artisanale de Rulles	2010-heden
La Safranaise	hoge gisting, kruidenbier	7%	Brasserie Millevertus	?-?
La Saison des Chasses Ambrée	saison	7%	Brasserie de Bouillon	?-?
La Saison des Chasses Blonde	saison	6%	Brasserie de Bouillon	?-?
La Sambresse Blonde	hoge gisting	8%	Brouwerij Brootcoorens	2003-?
La Spéciale Fêtes	winterbier	8,5%	Brasserie de Bouillon	?-?
La Trompeuse	hoge gisting	6,9%	Brasserie Jean Tout Seul	?-heden
La Troufette Belle d'été	hoge gisting	6%	Brasserie de Bastogne	NaN
La Troufette Blonde	hoge gisting	6%	Brasserie de Bastogne	2008-heden
La Troufette Brune	hoge gisting, winterbier	6,8%	Brasserie de Bastogne	2008-heden
La Troufette Givrée	hoge gisting	8%	Brasserie de Bastogne	?-heden
La Troufette Rousse	hoge gisting	7,8%	Brasserie de Bastogne	?-heden
La Vauban	abdijbier	6%	Brasserie de Bouillon	?-?
La Vermontoise	saison	6%	Brasserie de Blaugies	?-?
La Waterlootoise	tripel	9%	Brouwerij Van Steenberge	?-?
La wepionnaise	rood-bruin	6.5%	Les Artisans Brasseurs	?-?
Lam Gods 33cl	bruin dubbel	6,8%	Brouwerij Van Steenberge voor Brouwerij Paeleman	2007?-heden
Lam Gods 75cl	bruin dubbel	8%	Brouwerij Van Steenberge voor Brouwerij Paeleman	2007?-heden
L'Amarante	hoge gisting, kruidenbier	8%	Brasserie Millevertus	?-?
Lambinus	hoge gisting, honingbier	8%	De Proefbrouwerij voor bierfirma Lesage	2006-heden
Lamme Goedzak	hoge gisting	7%	De Scheldebrouwerij	1995-heden
Lamoral degmont	hoge gisting, amberblond	8%	Brouwerij Van Den Bossche	1987-heden
Ledeberg Tripel	tripel	6%	Brouwerij Van Steenberghe	2003
Leeuw Pilsener	pilsener	5%	Brouwerij Haacht	?-heden
Leeuwse Witte	witbier	5%	Affligem Brouwerij (Brouwerij De Smedt)	?-heden
Leffe Blond	blond, abdijbier	6,6%	AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1976-heden
Leffe Bruin	bruin, abdijbier	6,5%	AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1952-heden
Leffe Des Vignes	abdijbier	5%	AB InBev	2015-heden
Leffe Kerst	kerstbier, abdijbier	6,5%	AB InBev	2008-heden
Leffe Lente	abdijbier	6,5%	AB InBev	2011-heden
Leffe Nectar	abdijbier	5,5%	AB InBev	2012-heden
Leffe Radieuse	abdijbier	8,2%	AB InBev  (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1973-heden
Leffe Royale	blond, abdijbier	7,5%	AB InBev	2012-2015
Leffe Royale Whitbread Golding	blond, abdijbier	7,5%	AB InBev	2015-heden
Leffe Royale Casade IPA	IPA abdijbier	7,5%	AB InBev	?-heden
Leffe Royale Mapuche	abdijbier	7,5%	AB InBev	?-heden
Leffe Royale Mout Hood	abdijbier winterbier	7,5%	AB InBev	?-heden
Leffe Royale Crystal	abdijbier zomerbier	7,5%	AB InBev	?-heden
Leffe Ruby	fruitbier, abdijbier	6,5%	AB InBev	2011-heden
Leffe Tripel	tripel, abdijbier	8,4%	AB InBev (vroeger Brouwerij van Lootvoet, Brouwerij Artois, Brasserie du Bocq in Purnode en Brouwerij van Hoegaarden)(vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1954-heden
Leffe Vieille Cuvée	Amber	8,2%	AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois)	1956-heden
Leffe 9°	hoge gisting	9%	AB InBev	2015-heden
Leireken Boekweit Blond	amber, hoge gisting, boekweit, biologisch	6%	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?-?
Leireken Boekweit Bruin	bruin, hoge gisting, boekweit, biologisch	6%	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?-?
Leireken Lager Bio	pils, biologisch	5,2%	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?-?
Leireken Wilde Vruchten	fruitbier, hoge gisting, biologisch	5,2%	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?-?
Leireken Witte Spelt	blond, hoge gisting, spelt	5%	Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux)	?-?
Lekker ding	NaN	?%	Brouwerij Meesters	?-?
L'Enfant Terrible	hoge gisting, oak aged	7%	Brouwerij De Dochter van de Korenaar	?-?
Leopold Beer Double	NaN	?%	Brouwerij Meesters	?-?
Leopold Beer Triple	NaN	?%	Brouwerij Meesters	?-?
Leopold Xmas Beer	NaN	?%	Brouwerij Meesters	?-?
Le Pavé de l'Ours	hoge gisting, speciale belge	7,5%	Brasserie de Silenrieux	2006-heden
Lesage Blond	hoge gisting, tripel	7%	De Proefbrouwerij voor bierfirma Lesage	?-heden
Lesage Dubbel	hoge gisting	7,5%	De Proefbrouwerij voor bierfirma Lesage	2011-heden
Le semeur	hoge gisting	6,2%	Brasserie La Rochfortoise	?-?
Leuvendige witte	wit	6,5%	Brasserie Domus	?-heden
Leute Bokbier	roodbruin, hoge gisting	7,5%	Brouwerij Van Steenberge	1927-heden
Levir	blond, hoge gisting	8,4%	Brouwerij Den Buiten	2014-heden
Li Berwette	amber, hoge gisting	8%	Brasserie Saint-Monon voor Confrérie du Busson	2001-heden
Li Berwette di Noyè	donker kerstbier	8,5%	Brasserie Saint-Monon voor Confrérie du Busson	?-heden
Liberty (bier)	NaN	?%	Brouwerij Villers	?-?
Li P'tite Gayoûle	saison	5,5%	Brouwerij De Ranke voor NovaBirra	?-?
Liefmans Cuvée-Brut	fruitbier	6%	Brouwerij Liefmans	?-2015
Liefmans Frambozenbier	fruitbier	5,4%	Brouwerij Liefmans	?-?
Liefmans Fruitesse Rood	fruitbier	4,2%	Brouwerij Liefmans	?-heden
Liefmans Goudenband	bruin	8%	Brouwerij Liefmans	1956-heden
Liefmans IJzeren Band	bruin	8%	Brouwerij Liefmans	?-1956
Liefmans Kriek	bruin	6%	Brouwerij Liefmans	?-?
Liefmans Kriek Brute	bruin	6%	Brouwerij Liefmans	2015-heden
Liefmans Oud Bruin	oud bruin	5%	Brouwerij Liefmans	?-?
Liene	amber, tripel	7%	't Hofbrouwerijke in opdracht van Brouwerij Het Nest	2011-heden
Liers Kerstbier	amber, kerstbier	6%	Brouwerij Strubbe voor stad Lier	2007-heden
Liezelse witte	witbier	?%	Brouwerij Villers	?-?
Lily Blue	hoge gisting	7,5%	Brasserie Sainte-Hélène	NaN
Limburgse Witte	hoge gisting	5%	Brouwerij Sint-Jozef	?-?
Limerick	blond	8%	De Proefbrouwerij voor bierfirma Bas-bieren	2009-heden
Lindemans Apple	lambiek	3,5%	Brouwerij Lindemans	2005-heden
Lindemans Cassis	Fruitbier	3,5%	Brouwerij Lindemans	1986-heden
Lindemans Framboise	lambiek	2,5%	Brouwerij Lindemans	1980-heden
Lindemans Kriek	kriek	4%	Brouwerij Lindemans	1979-heden
Lindemans Pecheresse	fruitbier	2,5%	Brouwerij Lindemans	1987-heden
Lindemans Tea beer	fruitbier	3,5%	Brouwerij Lindemans	?-2010
Liter van Pallieter	tripel	8%	Microbrouwerij Achilles	2008-heden
Liv the dream	tripel	7,5%	Brouwerij Donbosvalk	2019-heden
Living Tripel	tripel	9%	De Proefbrouwerij	?-?
Livinus	blond, hoge gisting	10%	Brouwerij Van den Bossche	?-?
Livinus Blonde	tripel	10%	Brouwerij Van Eecke	1964-heden (e ?-?)
Livinus Brune	donker	9%	Brouwerij Van Eecke	?-? (e ?-?)
Lokernaere	etiketbier	5,5%	Brouwerij Het Sas	1989-heden (e 1995-?)
Loo (bier)	NaN	?%	Brouwerij Villers	?-?
Lootsch winterbier	winterbier	?%	De Proefbrouwerij	1?-?
Lost in Spice	Blond	5,2%	Brouwerij De Koninck (Duvel-Moortgat)	2017-heden
Loteling blond	NaN	?%	Brouwerij Villers	?-?
Loteling bruin	NaN	?%	Brouwerij Villers	?-?
Loteling dubbel	NaN	?%	Brouwerij Villers	?-?
Loteling tripel	NaN	?%	Brouwerij Villers	?-?
Loterbol 6°	hoge gisting	6%	Brouwerij Loterbol	1995-heden
Loterbol Blond	hoge gisting	8%	Brouwerij Loterbol	2002-heden
Loterbol Bruin	hoge gisting	8%	Brouwerij Loterbol	2002-heden
Lou Pepe	geuze	5%	Brasserie Cantillon	1998-heden
Lousberg	tripel	8%	De Proefbrouwerij voor Het Hinkelspel	?-?
Louis XVIII	blond	7,5%	De Wilde Brouwers	2015-heden
Louwaege Dubbel Blond	tafelbier	1,4%	Brouwerij Louwaege	?-?
Louwaege Faro	tafelbier	1,4%	Brouwerij Louwaege	?-?
Louwaege's Kriek	kriek	4,3%	Brouwerijen Alken-Maes	2002-heden (e 2002-2005)
Louwaege pils	pils	?%	Brouwerij Louwaege	?-?
Louwaege Stout	stout	4,8%	Brouwerij Louwaege	?-?
Lowie V	NaN	?%	Brouwerij Cnudde	?-?
Lozen Boer	hoge gisting, quadrupel	10%	De Proefbrouwerij voor de familie Neyt	?-heden
Lozen Boer Abt	hoge gisting, quadrupel	10%	De Proefbrouwerij voor de familie Neyt	?-?
Lozen Boer Excellence	hoge gisting, quadrupel	10%	De Proefbrouwerij voor de familie Neyt	?-heden
Lozen Boer Cuvée Juchepie	hoge gisting, quadrupel	10%	De Proefbrouwerij voor de familie Neyt	2012-2012
Lucifer	amber, hoge gisting	8,4%	Brouwerij Vondel	?-1957
Lucifer	blond, hoge gisting	8,4%	Brouwerij Het Anker (vroeger in Brouwerij Riva en Brouwerij Liefmans)	'80-heden
