beername	beer_style	alcohol_percentage	brewery	start_production	end_production	beer_rating
Blanche de Namur	Wheat Beer	5.2	Brasserie du Bocq	?	Present	3.405
Blanche de Tubize	Wheat Beer	4.8	Brasserie de Tubize	?	Present	3.072
Blanche de Quenast	Wheat Beer	4.5	Brouwerij Lefebvre	1989	Present	4.287
Blanche de Noel	Wheat Beer	NaN	Brasserie de Bocq	?	?	3.706
Blanche des Honnelles	Wheat Beer	6	Brasserie de l'Abbaye des Rocs	1991	Present	3.373
Blanche de Liège	Wheat Beer	NaN	Brouwerij Val-Dieu	?	?	3.349
Blanche de Liege Rosée	Wheat Beer	NaN	Brouwerij Val-Dieu	?	?	3.35
Blanche des Neiges	Wheat Beer	5	Brouwerij Huyghe	1990	Present	3.42
Blanche du Hainaut Bio	Wheat Beer, Organic	5.5	Brouwerij Dupont	1999	Present	No Rating Found
Blanchette de Gaume	Wheat Beer	5	Brasserie Millevertus	?	?	3.04
Blanchette de Lorraine	Wheat Beer, Fruit Beer	5	Brasserie Millevertus	2005	Present	2.765
BLAUW	Lager, Export	5.2	Brouwerij Bockor	?	?	4.042
Blauwersbier	Mixed Beer	6.5	Brouwerij Van Eecke	?	?	3.242
Bleeken Moriaen	Triple	10	Brouwerij Van Eecke	1964	Present	3.562
Blegny-Mine Bière des Hertcheûses	Nan	NaN	Brouwerij Val-Dieu	?	?	3.301
Blesbier	Nan	NaN	Brouwerij Meesters	?	?	2.933
Blinde Mol	Blond	6.5	Brouwerij Maenhout bij Brouwerij Gulden Spoor	?	?	3.299
Bloemenbier	Belgian Strong Ale	7	De Proefbrouwerij	?	?	3.082
Bloesem Kriek	Kriek	4.5	Brouwerij Kerkom	2012	Present	3.293
Blonde	Blond	7	Brasserie de Bellevaux	?	Present	3.723
Blonde	Blond, Bottom Fermentation	1.2	Brouwerij Haacht	?	?	3.723
Blonde Bie	Blond	8	Brouwerij De Bie	?	Present	3.29
Blonde Devaux	Nan	NaN	Brasserie Devaux	?	?	No Rating Found
Blonde Stoot	Blond	5	Brouwerij Anders! voor Bieren Cabardouche	2012	Present	3.381
Blonde de Brabant	Blond	6	Groep John Martin	?	?	3.416
Blonde de Noël	Blond	10	Brasserie Caulier	?	?	3.662
Blondelle	Blond	7	't Hofbrouwerijke	?	Present	3.234
Blondine	Blond	8	Brouwerij Van Steenberge voor Hopduvel Gent	?	Present	3.606
Blondine IPA	Ipa	8	Brouwerij De Graal voor Hopduvel Gent	2012	Present	3.62
Bloody Belgium	Blond	6.5	nan	2017	Present	3.441
Blusser	Pilsner	5	Brouwerij Het Anker	1998	2009	3.533
Bock Leroy	Table Beer	1.8	Brouwerij Het Sas	?	Present	3.408
Bock Pils	Pilsner	5.2	Brouwerij Palm	?	Present	2.967
Bockor Pils	Bottom Fermentation, Pilsner	5.2	Brouwerij Bockor	?	Present	3.003
Bocq Christmas	Christmas Beer	8.1	Brasserie Du Bocq	?	?	3.486
Boecht van den Afgrond	Nan	7	Brouwerij Kerkom	?	Present	3.403
Boembeke Luiwerk Blond	Blond, Slightly Cloudy	6.5	Brouwerij De Graal	2012	Present	No Rating Found
Boerinneken	Top Fermentation, Blond	9.5	De Proefbrouwerij voor Verstraeten H&S	?	Present	3.486
Boerke Amber	Amber	6.8	Brouwerij Angerik	1998	?	No Rating Found
Boerke Blond	Blond	6.8	Brouwerij Angerik	1998	Present	3.121
Boerke Bruin	Brown	6.8	Brouwerij Angerik	1998	Present	3.223
Boerke Donker	Nan	5.5	Brouwerij Angerik	1998	?	3.312
Boerke Krieken	Fruit Beer	6.5	Brouwerij Angerik	2004	Present	No Rating Found
Boerken	Top Fermentation, Brown	9.5	De proefbrouwerij voor Verstraeten H&S	?	?	3.441
Bokkereyer	Low Fermentation	6	Brouwerij Sint-Jozef	?	?	3.127
Bolivar Blond	Blond	7.5	Brouwerij Huyghe voor Oxfam wereldwinkels	2004	2013	3.032
Bolivar Bruin	Brown	7.5	Brouwerij Huyghe voor Oxfam wereldwinkels	2004	2013	2.701
Bolleke	Amber	5.2	Brouwerij De Koninck (Duvel-Moortgat)	1913	Present	3.338
Bolleville Calvados Barrel OA	Oak-Aged	10	Brouwerij Alvinne	?	?	No Rating Found
Bokrijk (bier)	Nan	NaN	Brouwerij Villers	?	?	3.486
Bokrijks	Blond, Abbey Beer	7.2	Brouwerij du Bocq	?	Present	3.605
Bokrijks (kruikenbier)	Blond Beer	8	Brouwerij Sterkens	?	Present	3.605
Bon Homme	Top Fermentation, Dark Brown	6.5	Brouwerij De Leite	?	?	2.916
Bon Secours Ambrée	Top Fermentation, Amber	8	Brouwerij Caulier	?	?	3.312
Bon Secours Blonde	Top Fermentation, Blond	8	Brouwerij Caulier	?	?	3.414
Bon Secours Brune	Top Fermentation, Brown	8	Brouwerij Caulier	?	?	3.301
Bon Secours Framboise	Top Fermentation, Raspberry Beer	7	Brouwerij Caulier	?	?	2.654
Bon Secours Myrtille	Top Fermentation, Blueberry Beer	7	Brouwerij Caulier	?	?	3.239
Bon Secours Noël	Top Fermentation, Blond Christmas Beer	10	Brouwerij Caulier	?	?	3.662
Boneffe	Abbey Beer	9	Brasserie de Tubize	?	?	3.547
Bootjes Bier	Amber	7	Brouwerij Roman voor Antwerpse Brouw Compagnie	2015	Present	3.506
Bons Voeux	Blond	9.5	Brouwerij Dupont	1980	Present	3.803
Boon Millesime	Fruit Beer	6.5	Brouwerij Boon	?	Present	3.824
Boretech	Nan	NaN	Brouwerij Villers	?	?	3.373
Bornem Dubbel	Abbey Beer	8	Brouwerij Van Steenberge	1957	Present	3.392
Bornem Tripel	Abbey Beer	9	Brouwerij Van Steenberge	1957	Present	3.467
Bosaardbeien	Fruit Beer	NaN	Brouwerij Bios voor Dirk Labie	?	?	No Rating Found
Bos Bier	Fruit Beer	9	Brouwerij DijkWaert	2010	Present	3.415
Bosbier	Fruit Beer Lager	4	Brouwerij Sint-Jozef	1989	Present	2.86
Boscoli	Fruit Beer	3.5	Brouwerij Het Anker	2009	Present	3.254
Boskeun	Light Blonde	7	De Dolle Brouwers	?	?	3.707
Bosprotter	Triple	8.5	't Hofbrouwerijke	?	?	3.375
Boum	Nan	NaN	Brouwerij Villers	?	?	3.572
Bourgogne des Flandres Blond	Top Fermentation, Blond	6	Brouwerij Verhaeghe nu Brouwerij Timmermans	1911	Present	3.563
Bourgogne des Flandres Bruin	Old Brown	5	Brouwerij Verhaeghe nu Brouwerij Timmermans	1911	Present	3.521
Bras	Brown	10	Brouwerij Den Tseut	2012	Present	2.388
Brasserie des Rocs Triple Impériale	Nan	10	Brasserie de l'Abbaye des Rocs	?	?	3.661
Brave Broeder	Top Fermentation (Label Beer)	5	Brasserie de Silly	?	Present	No Rating Found
Bravoure	Top Fermentation, Smoked Beer, Amber	6.5	Brouwerij De Dochter van de Korenaar	2007	Present	3.381
Bremserbier	Amber	6	Huisbrouwerij de 3 vaten	?	?	2.987
Brice	Blond	7.5	Brasserie Grain d'Orge	2003	Present	3.395
Briekebakker	Triple	8.7	Brouwerij Alvinne	2004	Present	No Rating Found
Brigand	Blond	9	Brouwerij Van Honsebrouck	1980	Present	3.502
Brigand IPA	India Pale Ale	6.5	Brouwerij Van Honsebrouck	2008	2009	3.623
Broeder Jacob Bruin	Brown	7.5	Brasserie du Bocq voor Broeder Jacob bvba	2010	Present	3.268
Broeder Jacob Double Expresso	Brown	7.7	Brasserie du Bocq voor Broeder Jacob bvba	?	Present	3.369
Broeder Jacob Double Port	Dark Brown	9	Brasserie du Bocq voor Broeder Jacob bvba	?	Present	3.522
Broeder Jacob Formidabel	Blond	5.5	Brasserie du Bocq voor Broeder Jacob bvba	?	Present	3.362
Broeder Jacob Tripel	Triple	7.5	Brasserie du Bocq voor Broeder Jacob bvba	?	Present	3.509
Bruegel	Amber	5	Brouwerij Van Steenberge	?	Present	No Rating Found
Brug Ale	Specialty Beer, Top Fermentation	5	Brasserie de Silly)	?	?	3.699
Brugge Blond	Specialty Beer, Top Fermentation	6.5	Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)	?	Present	3.406
Brugge Tripel	Specialty Beer, Top Fermentation	8.7	Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)	1987	Present	3.58
Brugs Tarwebier	Wheat Beer	5	Brouwerij De Halve Maan (vroeger in Brouwerij De Gouden Boom)	1983	Present	3.389
Brugs Beertje 20	Blond	6.5	Brouwerij De Regenboog	?	?	No Rating Found
Brugs Beertje 25	Amber	9	Brouwerij De Regenboog	?	?	No Rating Found
Brugse Babbelaar	Blond	6.5	De Proefbrouwerij	?	?	3.352
Brugse Bok	Light Dark	6.5	Brouwerij De Halve Maan	?	?	3.409
Brugse Zot Blond	Golden Blonde	6	Brouwerij De Halve Maan	2005	Present	3.672
Brugse Zot Dubbel	Brown	7.5	Brouwerij De Halve Maan	2005	Present	3.534
Bruin Leroy	Table Beer	1.8	Brouwerij Het Sas	?	Present	3.314
Brune Devaux	Nan	NaN	Brasserie Devaux	?	?	3.549
Brune	Brown	6.8	Brasserie de Bellevaux	?	?	3.694
Brunehaut Terroir	Wheat Beer	5	Brasserie de Brunehaut	?	?	No Rating Found
Brunehaut Tradition	Amber	6.5	Brasserie de Brunehaut	?	?	3.306
Brunehaut Village	Blond	6.5	Brasserie de  Brunehaut	?	?	No Rating Found
Brunehaut Bio Amber	Biological	6.5	Brasserie de  Brunehaut	2009	Present	2.931
Brunehaut Bio Blanche	Organic Wheat Beer	5	Brasserie de  Brunehaut	2002	Present	3.088
Brunehaut Bio Blonde	Biological	6.5	Brasserie de  Brunehaut	2009	Present	3.166
Brunette	Top Fermentation	9	Brouwerij Van Steenberge voor Hopduvel Gent	?	?	3.533
Brussels Framboos	Fruit Beer	3.5	Brouwerij Van Steenberge	?	?	No Rating Found
Brussels Kriek	Fruit Beer	5	Brouwerij Van Steenberge	?	?	3.138
Brussels Perzik	Fruit Beer	4	Brouwerij Van Steenberge	?	?	No Rating Found
"Brussels Fruit Beer ""Apple"""	Fruit Beer	3.2	Brasserie Du Bocq	?	?	3.178
"Brussels Fruit Beer ""Peaches"""	Fruit Beer	3.2	Brasserie Du Bocq	?	?	3.015
"Brussels Fruit Beer ""Red Fruit"""	Fruit Beer	3.2	Brasserie Du Bocq	?	?	2.942
Brussels white	Wheat Beer	4.5	Brouwerij Lefebvre	?	?	3.547
Brut	Blond Aperitif Beer	8	Brouwerij De Vlier	?	?	3.488
Bruynen Moriaen	Dark	9	Brouwerij Van Eecke	?	Present	3.503
BRWN	Top Fermentation, Organic	7	De Proefbrouwerij voor Brouwerij Jessenhofke	2009	Present	3.229
Bryggja	Triple	8.5	Brouwerij De Graal voor Bryggja	?	?	3.461
Bueckenholt Belge	Special Belgian, Amber	6.5	Brouwerij Anders! voor Brouwerij Bueckenholt	?	?	3.291
Bueckenholt SaisoN548	Saison, Blond	6.1	Brouwerij Den Triest en Brouwerij Anders voor Brouwerij Bueckenholt	?	?	3.283
Buffalo	Top Fermentation, Dark	6.5	Brouwerij Van Den Bossche	1907	Present	3.329
Buffalo Belgian Stout	Stout	9	Brouwerij Van Den Bossche	2006	Present	3.445
Buffalo Bitter	Blond	8	Brouwerij Van Den Bossche	?	Present	3.292
Bufo	Blond	4.8	De Proefbrouwerij voor Gageleer cbva-so	2013	Present	3.199
Bush 7	Amber	7.5	Brouwerij Dubuisson	1994	2010	3.488
Bush Amber	Top Fermentation, Amber	12	Brouwerij Dubuisson	1933	Present	3.618
Bush Amber Tripel	Triple, Amber	12	Brouwerij Dubuisson	2008	Present	3.618
Bush Blond	Top Fermentation, Blond	10.5	Brouwerij Dubuisson	1998	Present	3.621
Bush Blond Triple	Triple, Blond	10.5	Brouwerij Dubuisson	2008	Present	3.621
Bush de Noël	Christmas Beer	12	Brouwerij Dubuisson	1991	Present	3.724
Bush de Noël Premium	Christmas Beer, Triple	13	Brouwerij Dubuisson	1991	Present	3.85
Bush Millennium	Amber, Triple	13	Brouwerij Dubuisson	2000	2003	4.467
Bush de Nuits	Amber, Triple	13	Brouwerij Dubuisson	2008	Present	3.944
Bush Prestige	Amber, Triple	13	Brouwerij Dubuisson	2000	Present	3.944
Camaraderie	Blond	8	Brouwerij Bavik	?	?	3.513
Cambrinus	Belgian Ale	5.1	Brouwerij Verhaeghe	?	Present	3.21
Campus Premium	Pilsner	5	Brouwerij Huyghe	1993	Present	2.99
Campus	Very Dark	7	Brouwerij Huyghe	1993	Present	3.089
Campus Gold	Blond	6.2	Brouwerij Huyghe	?	?	No Rating Found
Canaille	Wheat Beer	5.2	Brasserie Grain d'Orge	?	?	3.269
Canaster	Scotch	8.7	Brouwerij De Glazen Toren	2004	Present	3.629
Cantillon Geuze	Spontaneous Fermentation	5	Brouwerij Cantillon	?	?	4.184
Caper Fumatis	Dark Brown	6.3	Brouwerij Alvinne	?	?	2.935
Capoen	Amber	6.5	De Proefbrouwerij	?	?	3.643
Captain Cooker Manuka Beer	Amber	5.7	De Proefbrouwerij voor Captain Cooker	2012	Present	3.58
Captain Cooker White Manuka Beer	Wheat Beer	4.5	De Proefbrouwerij voor Captain Cooker	?	?	3.58
Cara Pils	Pilsner	4.4 - 5.2 (vari�rend)	Brouwerij Haacht	?	Present	2.728
Caracole Ambree	Top Fermentation, Amber	8	Brasserie Caracole	1990	Present	3.32
Caracole Brune	Top Fermentation, Brown	8	Brasserie Caracole	1990	?	3.204
Carioca	Wheat Beer	4.8	De Lion à Plume bij Brasserie de Bastogne	?	?	3.937
Carlos	Dark, Top Fermentation	6.5	Brouwerij Contreras	2005	Present	3.573
Carnavalsbier	Blond	6.1	Brouwerij De Graal voor bierfirma Vacas	?	?	3.05
Carrousel	Top Fermentation, Blond	6	Brouwerij De Vlier	2011	Present	3.747
Caulier Blonde	Top Fermentation, Blond	6.8	De Proefbrouwerij voor Caulier Developpement	2009	Present	3.414
Caulier Brune	Top Fermentation, Amber Brown	6.8	De Proefbrouwerij voor Caulier Developpement	?	Present	3.301
Caulier Gluten free Blonde	Top Fermentation, Blond	6.8	De Proefbrouwerij voor Caulier Developpement	?	Present	3.082
Caulier Special Extra	Top Fermentation, Blond	4.3	De Proefbrouwerij voor Caulier Developpement	?	Present	No Rating Found
Caves	Top Fermentation, Amber Color	5.8	Brouwerij Verhaeghe Vichte	1976	Present	3.062
Ceci n'est pas un Barley Wine	Barley Wine	10	Brasserie Sainte-Hélène	?	Present	3.564
Ceci n'est pas une saison	Season	6.5	't Hofbrouwerijke	2011	Present	3.532
Ceci n'est pas une stout	Stout	6.5	't Hofbrouwerijke	2012	Present	3.238
Ceci n'est pas une triple	Triple	8	't Hofbrouwerijke	2012	Present	3.632
Celestus (bier)	Lower	5	Brouwerij Haacht	?	?	4.369
Celis Pale Bock	Bock Beer	4.9	Brouwerij De Smedt	?	?	3.535
Celis White	Wheat Beer	5	Brouwerij Van Steenberge	1992	Present	3.51
Celtic Angel	Top Fermentation, Amber	6.2	De Proefbrouwerij voor Microbrouwerij Achilles	?	?	3.163
Cervesia	Top Fermentation, Blond	8	Brouwerij Dupont	1983	Present	3.739
Cervoise de l'Avouerie d'Anthisnes	Nan	5	Brasserie de Silly	?	?	3.187
Cesar	Triple	8.5	Brouwerij Van Steenberge	2011	Present	3.44
Cezarken	Lower	5.5	Brouwerij Strubbe	1989	Present	3.271
Chapeau Gueuze	Geuze	5.5	Brouwerij De Troch	?	Present	3.562
Chapeau Abricot	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1991	Present	3.05
Chapeau Banana	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1980	Present	2.786
Chapeau Cuvée Oude Gueuze	Old Geuze	5.5	Brouwerij De Troch	?	Present	3.562
Chapeau Exotic (ananas)	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1994	Present	2.859
Chapeau Faro	Sweetened Geuze	4.75	Brouwerij De Troch	1991	Present	3.298
Chapeau Fraises	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1991	Present	2.907
Chapeau Framboise	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1991	Present	3.474
Chapeau Kriek	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	?	Present	3.276
Chapeau Lemon	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1991	Present	2.783
Chapeau Mirabelle	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1991	Present	3.15
Chapeau Pêche	Fruit Beer Based On Lambic	3.5	Brouwerij De Troch	1991	Present	2.876
Chapeau Tropical	Fruit Beer	3.5	Brouwerij De Troch	?	?	2.786
Chapeau Winter Gueuze	Geuze, Christmas Beer	5.6	Brouwerij De Troch	?	Present	2.648
Chapeau X-mas	Christmas Beer	5.6	Brouwerij De Troch	?	?	2.648
Charlie	Blond	6	Brouwerij Charlie	2020	Present	3.539
Charlie	Triple	8	Brouwerij Charlie	2020	Present	3.539
Charles Quint	Lower	8.5	Haacht	1999	Present	3.526
Chimay Blauw	Trappist	9	Abdij Notre-Dame de Scourmont	1948	Present	3.902
Chimay Dobbelbock	Low Fermentation	9	Abdij Notre-Dame de Scourmont	1862	?	3.673
Chimay dorée	Blond Table Beer	4.8	Abdij Notre-Dame de Scourmont	2006	Present	3.554
Chimay Rood	Trappist	7	Abdij Notre-Dame de Scourmont	1948	Present	3.728
Chimay La Première	Trappist	7	Abdij Notre-Dame de Scourmont	1948	Present	No Rating Found
Chimay Wit	Triple	8	Abdij Notre-Dame de Scourmont	1966	Present	3.732
Chimay Cinq Cent	Triple	8	Abdij Notre-Dame de Scourmont	1966	Present	3.732
Chimay Spéciale Cent Cinquante	Trappist	10	Abdij Notre-Dame de Scourmont	2012	2012	4.014
Chouffe Biere de Mars	Nan	7.5	Brouwerij van Achouffe (Duvel-Moortgat)	?	?	3.323
Chouffe Bok 6666	Dark Amber	6.66	Brouwerij van Achouffe (Duvel-Moortgat)	?	Present	3.477
Chouffe Houblon	Indian Pale Ale	8.5	Brouwerij Achouffe	?	Present	3.674
Christmas Leroy	Top Fermentation, Christmas Beer	7.5	Brouwerij Van Eecke	?	?	3.416
Christmas Verhaeghe	Top Fermentation, Christmas Beer	7.2	Brouwerij Verhaeghe	?	?	3.277
Christmas Pale Ale	Top Fermentation, Christmas Beer	6.3	Brouwerij De Ryck	1986	Present	3.769
Christophe Amber	Top Fermentation,	6.5	Micro Brouwerij VC	1994	Present	No Rating Found
Ciney Blond	Top Fermentation, Blond	7	Alken-Maes (vroeger Brouwerij Grade)	1980	Present	3.436
Ciney Bruin	Top Fermentation, Brown	7	Alken-Maes (vroeger Brouwerij Grade)	1978	Present	No Rating Found
Ciney Speciale 10	Top Fermentation, Brown	9	Alken-Maes (vroeger Brouwerij Grade)	1986	2007	No Rating Found
"Clio ""Sister of Apollo"""	Golden Ale	7.3	Brouwerij Eutropius in opdracht van Castalia Craft Beers	2018	Present	3.345
Cluysenaer Amber	Top Fermentation	7	De Proefbrouwerij voor Brouwerij Cluysenaer	2002	Present	No Rating Found
Cluysenaer Cuvée Noir	Top Fermentation	8	De Proefbrouwerij voor Brouwerij Cluysenaer	2011	Present	3.431
Cnudde Bizon	Fruit Beer	5.5	Brouwerij Cnudde	2000	Present	3.1
Cnudde Kriek	Fruit Beer	5.5	Brouwerij Cnudde	?	?	No Rating Found
Cnudde Oudenaards bruin (Kerkhofbier)	Flemish Old Brown	5	Brouwerij Cnudde	1933	Present	No Rating Found
Colère Rouge	Belgian Dark Ale	5	Brasserie Millevertus	2008	Present	3.602
Colleken	B	NaN	Brouwerij Van Den Bossche	?	?	No Rating Found
Con domus	Pilsner	5	Brasserie Domus	1985	Present	3.12
Content	Triple	7.5	Brouwerij De Graal voor De Verhuisbrouwerij	2004	Present	3.74
Contrapils	Pilsner	5	Brouwerij Contreras	1954	Present	2.963
Contreras' Especial Mars	Top Fermentation, Spring Beer	6.5	Brouwerij Contreras	1898	Present	3.139
Cookie Beer	Specialty Beer	8	Brasserie d'Ecaussinnes	?	?	3.482
Coq Hardi	Low Fermentation, Blond	5.5	Brouwerij Haacht	1972	Present	2.985
Cornet	Top Fermentation, Blond	8.5	Brouwerij Palm	2014	Present	3.612
Corsendonk Agnus	Blonde Triple	7.5	Brouwerij du Bocq voor Corsendonk nv	1982	Present	3.631
Corsendonk Blond	Top Fermentation	6.5	Brouwerij du Bocq voor Corsendonk nv	1982	Present	3.631
Corsendonk Bruin	Top Fermentation	6.5	Brouwerij du Bocq voor Corsendonk nv	1982	Present	3.484
Corsendonk Christmas Ale	Christmas Beer	8.5	Brouwerij du Bocq voor Corsendonk nv	?	Present	3.681
Corsendonk Dubbel kriek	Fruit Beer	8.5	Corsendonk nv	?	Present	3.497
Corsendonk Gouden Tripel 10	Triple	9.7	Corsendonk nv	?	Present	3.702
Corsendonk Grand Hops	Nan	6.9	Corsendonk nv	?	Present	3.41
Corsendonk Pater	Reddish Brown, Double	7.5	Brouwerij du Bocq voor Corsendonk nv	?	Present	3.631
Corsendonk Rousse	Amber, Top Fermentation	8	Brouwerij du Bocq voor Corsendonk nv	?	Present	3.39
Corsendonk Strong Dark	Brown Beer	8.3	Corsendonk nv	?	Present	3.81
Corsendonk Triple 11.11.11	Tripel (Label Beer)	7.5	Brouwerij du Bocq voor Corsendonk nv	1982	Present	3.578
Couckelaerschen Doedel	Top Fermentation	6.5	Brouwerij Strubbe	1970	Present	3.048
Courage	Top Fermentation, Winter Beer	8	Brouwerij De Dochter van de Korenaar	2009	Present	3.67
Coy'Heimsen	Red Brown Label Beer	6	Brouwerij Van Eecke	1955	Present	No Rating Found
Crabbelaer BIEZEBAAZE	Kolsch	5.7	Brouwerij De Graal voor Brouwerij De 6 Helmen	2021	Present	3.294
Crabbelaer HOMMAGE	Bio Triple	7.9	Brouwerij De Graal voor Brouwerij De 6 Helmen	2020	Present	3.47
Crabbelaer BLOND	Season	7.5	Brouwerij De Graal voor Brouwerij De 6 Helmen	2014	Present	3.394
Crack Pils	Bottom Fermentation, Pilsner	5	Brouwerij Het Sas	1986	Present	3.361
Crianza	Mixed Beer With Lambic	7	Brasserie de la Senne	?	?	3.758
Cristal Alken	Bottom Fermentation, Pilsner	4.8	Alken-Maes (Heineken)	1928	Present	3.039
Cristal 1928	Bottom Fermentation, Pilsner	5.8	Alken-Maes (Heineken)	2008	Present	3.169
Curtius	Top Fermentation, Blond	7	Microbrasserie de la Principauté	?	?	3.494
Cuvée 800	Nan	NaN	Brouwerij Val-Dieu	?	?	3.516
Cuvée Angélique	Double, Special Belgian	8.3	Brouwerij De Glazen Toren	2006	Present	3.657
Cuvée D'Aubel blond	Blond	NaN	Brouwerij Val-Dieu	?	?	No Rating Found
Cuvée D'Aubel brune	Brown	NaN	Brouwerij Val-Dieu	?	?	No Rating Found
Cuvée de Bouillon	Blond, Top Fermentation	6.5	Brasserie de Bouillon en Les Artisans Brasseurs	1996	Present	3.299
Cuvée de Briqville	Regional Beer	7	Brouwerij Van Steenberge in opdracht van Brouwerij Van Goethem	?	Present	3.398
Cuvée de Briqville	Regional Beer	NaN	Brouwerij Van Goethem	1950	?	3.398
Cuvée de ciney	Top Fermentation, Brown	7	Alken-Maes (vroeger Brouwerij Grade)	1978	Present	3.436
Cuvée de Francorchamps	Nan	8	Brouwerij Lefebvre	1991	?	No Rating Found
Cuvée De Koninck	Nan	8	Brouwerij De Koninck	?	2010	3.317
Cuvée de l'an neuf	Top Fermentation, Brown	9	Brasserie Caracole	?	?	No Rating Found
Cuvée De l'Ermitage	Abbey Beer	8	Brouwerij Union	?	?	3.816
Cuvée De Ranke	Mixed Fermentation	7	Brouwerij De Ranke	2005	Present	3.935
Cuvée De Rochehaut	Nan	8	Brasserie Caulier (Péruwelz)	?	Present	3.496
Cuvée des Jacobins	Lambic	5.5	Brouwerij Bockor	?	?	3.929
Cuvée des Trolls	Top Fermentation, Blond	7	Brouwerij Dubuisson	2000	Present	3.468
Cuvée des Trolls Triple	Blonde Triple	7	Brouwerij Dubuisson	2010	Present	3.581
Cuvée Delphine	Belgian Royal Stout	13	De Struise Brouwers bij Brouwerij Deca	?	?	4.162
Cuvée d'Erpigny	Quadrupel, Oak Aged	15	Brouwerij Alvinne	?	?	3.889
Cuvée du Château	Very Dark	11	Brouwerij Van Honsebrouck	2010	Present	3.812
Cuvée du Flo Ambrée	Top Fermentation, Amber	8.5	Brasserie du Flo	?	?	3.173
Cuvée du Flo Blonde	Top Fermentation, Blond	8	Brasserie du Flo	?	?	3.527
Cuvée du Flo Brune	Top Fermentation, Brown	9	Brasserie du Flo	?	?	3.68
Cuvée du Flo Fruit	Top Fermentation, Fruit Beer	6.5	Brasserie du Flo	?	?	No Rating Found
Cuvée du Flo Miel	Top Fermentation, Honey Beer	8.5	Brasserie du Flo	?	?	No Rating Found
Cuvée du Tchesté	Top Fermentation	7.5	Brasserie Les 3 Fourquets in opdracht van de Confrérie du Tchesté de Neufchâteau	?	Present	3.62
Cuvée du Tchesté	Top Fermentation	8.5	Brouwerij van Achouffe in opdracht van de Confrérie du Tchesté de Neufchâteau	1994	?	3.62
Cuvée Ermesinde	Top Fermentation, Amber	7.8	Brasserie Saint-Monon	?	?	3.312
Cuvée Freddy	Stout	10	Brouwerij Alvinne	?	?	3.908
Cuvée Jeun'homme	Blond	6.5	Brouwerij De Leite	?	?	3.437
Cuvée Jolie Môme	Top Fermentation, Wheat Beer	4.5	Brasserie du Flo	?	?	No Rating Found
Cuvée Lambikstoemper	Old Geuze	7	Brouwerij Boon & De Lambikstoempers	?	?	4.087
Cuvée Li Crochon	Top Fermentation, Brown	8.7	Brasserie Du Bocq	?	?	3.292
Cuvée Mam'zelle	High Blonde	8.5	Brouwerij De Leite	?	?	3.378
Cuvée René Oude Geuze	Old Geuze	5.5	Brouwerij Lindemans	1995	Present	3.735
Cuvée René Oude Kriek	Fruit Beer Based On Lambic	6	Brouwerij Lindemans	1995	Present	3.819
Cuvée Saint-Antoine Blonde	Abbey Beer	7.5	Brasserie du Flo (voorheen brouwerij du Bocq en brouwerij Van Steenberge)	2005	Present	No Rating Found
Cuvée Saint-Antoine Brune	Abbey Beer, Scotch	9	Brasserie du Flo (voorheen brouwerij du Bocq en brouwerij Van Steenberge)	2005	Present	No Rating Found
Cuvée Saint Gilloise	Spontaneous Fermentation, 100% Lambic	5	Brouwerij Cantillon	?	?	4.261
Cuvée Soeur'Ise	Cherry Beer	8.5	Brouwerij De Leite	?	?	3.717
Dagelyckx bier	Label Beer	8	Brouwerij Jessenhofke	2002	Present	3.462
Darinckdelver	Stout	10.5	Brouwerij Alvinne	?	?	No Rating Found
Dark White BBB	Top Fermentation	4.5	Brasserie Fantôme	?	?	3.827
De Boomgaard Framboise	Fruit Beer	4.9	Brasserie d'Ecaussinnes	2008	Present	2.959
de Chokier	Top Fermentation, Amber	7	De Proefbrouwerij	2000	Present	3.174
De Eycken Balthazar	Dark Brown	9	Brouwerij Alvinne	?	?	3.629
De Garre Tripel	Triple	11.5	Staminee De Garre (Brouwerij Van Steenberge)	?	?	4.116
De Graal Blond	Blond	6.5	Brouwerij De Graal	?	Present	3.339
De Graal Dubbel	Dark	6.5	Brouwerij De Graal	?	Present	3.266
De Graal Gember	Blond	8	Brouwerij De Graal	?	Present	3.293
De Graal SloCK	Copper-Colored	6.5	Brouwerij De Graal	2008	Present	3.363
De Graal Tripel	Triple	9	Brouwerij De Graal	?	Present	3.498
De Graal Quest	Sugar-Free	9	Brouwerij De Graal	?	Present	3.352
De Graal Triverius	Wheat Beer	6.8	Brouwerij De Graal	?	Present	3.359
De Hoop	Blond	9	De Dolle Brouwers	?	?	3.535
De Kavijaks	India Pale Ale	7	De Dolle Brouwers voor Kaffee Kavijaks	?	?	No Rating Found
De Koninck Blond	Blond	NaN	Brouwerij De Koninck	1999	2010	3.174
